100 800
47 9
42 93 539
39 98 823
64 62 716
9 2 499
31 23 685
49 90 283
19 15 497
24 71 165
80 82 543
3 14 215
7 92 763
76 98 397
63 11 703
81 19 417
73 85 235
77 70 48
41 55 583
92 70 106
3 86 225
73 92 925
21 20 216
71 17 311
8 66 120
56 99 938
62 18 944
91 95 972
10 7 819
64 31 506
6 4 299
75 35 705
51 22 472
26 56 445
37 51 705
38 10 911
5 37 684
44 24 882
13 1 2
52 11 747
9 20 1019
77 74 147
44 80 179
37 24 48
26 52 302
46 38 170
87 2 47
85 48 225
96 67 177
42 90 351
99 66 759
14 5 73
66 11 562
67 70 916
39 49 418
46 5 667
83 86 870
24 19 910
67 50 299
94 46 185
78 90 260
61 64 807
47 28 397
84 41 32
77 11 252
72 44 1046
6 46 226
55 7 340
25 36 757
65 53 802
72 78 50
68 19 649
97 0 774
85 17 136
47 49 635
61 56 346
59 87 350
42 89 41
40 22 974
77 94 1045
26 16 126
79 5 464
89 7 375
97 46 235
74 23 486
57 58 483
49 81 246
8 86 793
20 89 279
85 23 92
88 98 423
67 85 336
42 12 945
63 37 368
59 12 905
67 24 336
39 6 765
78 13 582
63 76 496
99 29 419
13 99 802
27 13 1042
90 55 40
49 50 550
9 94 538
17 5 618
81 71 181
53 63 202
93 34 954
84 19 585
7 3 217
33 3 477
36 94 575
93 69 320
74 89 108
54 47 551
70 96 130
18 23 389
92 97 154
25 74 75
71 69 999
35 69 220
11 70 88
81 55 484
64 0 933
27 48 701
9 75 602
8 4 258
83 23 189
83 34 28
16 2 50
44 93 896
71 95 548
89 68 176
91 55 83
19 65 228
68 24 513
98 80 768
22 4 562
23 19 612
69 70 5
73 70 939
13 5 274
23 21 246
73 18 845
44 35 527
47 71 325
25 0 106
47 91 486
73 61 712
70 6 31
50 37 126
3 0 519
43 24 562
40 82 1041
92 99 499
87 90 275
77 84 660
12 2 187
76 91 824
53 1 405
9 6 646
5 80 1041
11 15 364
3 24 59
55 17 877
99 75 740
54 74 516
64 84 796
64 69 169
96 98 185
66 17 455
27 18 796
82 85 232
56 37 859
28 48 579
96 50 975
71 32 187
34 26 913
16 0 641
68 69 84
41 37 348
84 20 878
78 92 617
68 33 885
48 16 340
20 85 84
48 78 502
49 97 696
10 82 407
1 79 398
69 89 16
7 0 529
82 96 725
74 84 936
76 90 134
24 70 311
91 31 402
70 37 693
21 98 1017
95 11 956
10 0 762
62 70 767
76 12 219
74 71 2
37 92 654
63 33 410
88 92 975
72 15 713
91 81 565
31 98 379
43 3 72
93 2 19
64 91 977
24 39 916
88 6 725
92 94 265
25 7 699
18 8 538
11 86 444
51 45 1003
9 71 244
21 0 407
49 21 398
99 41 422
81 53 199
27 25 874
74 82 358
66 75 799
85 36 365
73 32 577
55 83 413
51 43 941
1 19 506
36 53 567
70 81 364
18 86 504
35 70 67
